UserSocialNetworkID,Social_Platform,Social_URL,UserID
1,Facebook,https://www.facebook.com/cosme.norwood,1
2,Twitter,https://twitter.com/pencoy,2
3,Facebook,https://www.facebook.com/curry.pollins,3
4,Facebook,https://www.facebook.com/zea.drei,4
5,Twitter,https://twitter.com/zeadrei,4
6,Twitter,https://twitter.com/annalisekrzysztof,5
7,Instagram,https://www.instagram.com/annalisekrzysztof,5
8,Twitter,https://twitter.com/cointonlightwing,6
9,Instagram,https://www.instagram.com/cointonlightwing,6
10,Instagram,https://www.instagram.com/eliasharg,7
11,Facebook,https://www.facebook.com/saunders.anlay,8
12,Instagram,https://www.instagram.com/bereniceaicken,9
13,Twitter,https://twitter.com/newtonwhorall,10
14,Instagram,https://www.instagram.com/newtonwhorall,10
15,Facebook,https://www.facebook.com/omar.klima,11
16,Facebook,https://www.facebook.com/alasdair.dedomenico,12
17,Twitter,https://twitter.com/alasdairdedomenico,12
18,Facebook,https://www.facebook.com/camala.solleme,13
19,Facebook,https://www.facebook.com/babita.fewtrell,14
20,Facebook,https://www.facebook.com/stephana.lestrange,15
21,Instagram,https://www.instagram.com/stephanalestrange,15
22,Twitter,https://twitter.com/georgieivanishev,16
23,Instagram,https://www.instagram.com/georgieivanishev,16
24,Twitter,https://twitter.com/evonneduthie,17
25,Instagram,https://www.instagram.com/kercunde,18
26,Twitter,https://twitter.com/dallashayes,19
27,Twitter,https://twitter.com/benediktamcmearty,20
28,Facebook,https://www.facebook.com/eugene.blackburn,21
29,Facebook,https://www.facebook.com/lily.wright,22
30,Facebook,https://www.facebook.com/sebastian.richards,23
31,Instagram,https://www.instagram.com/scarlettcarter,24
32,Twitter,https://twitter.com/isaacalexander,25
33,Instagram,https://www.instagram.com/isaacalexander,25
34,Twitter,https://twitter.com/hazelmitchell,26
35,Instagram,https://www.instagram.com/hazelmitchell,26
36,Facebook,https://www.facebook.com/oliver.baker,27
37,Twitter,https://twitter.com/charlottewilliams,28
38,Facebook,https://www.facebook.com/henry.cooper,29
39,Twitter,https://twitter.com/henrycooper,29
40,Facebook,https://www.facebook.com/amelia.turner,30
41,Instagram,https://www.instagram.com/eliscott,31
42,Instagram,https://www.instagram.com/graceperez,32
43,Facebook,https://www.facebook.com/mason.gonzalez,33
44,Instagram,https://www.instagram.com/masongonzalez,33
45,Twitter,https://twitter.com/zoeyharris,34
46,Twitter,https://twitter.com/aidenmartin,35
47,Instagram,https://www.instagram.com/aidenmartin,35
48,Facebook,https://www.facebook.com/sofia.rodriguez,36
49,Facebook,https://www.facebook.com/jack.lopez,37
50,Facebook,https://www.facebook.com/ava.young,38
51,Twitter,https://twitter.com/lucasking,39
52,Facebook,https://www.facebook.com/harper.ward,40
